Date,Location,P1,P2,OT Character,RCS Character,Team,P3 Color,P3 Character,P4 Color,P4 Character,Match,Result,Wanted Form,Form,Stage,Common Notes,,,,,,,,Other Notes
2019-06-27,Ann Arbor,RCS,OT,,Donkey Kong,3038,Plum,Ganondorf,White,Ganondorf,4387,4,Battlefield,Battlefield,Mushroomy Kingdom,,,,,,,,,
,,,,,Donkey Kong,3039,,Mewtwo,Nin/Cyb/Def,Mii Swordfighter,4388,4,Battlefield,Battlefield,Golden Plains,,,,,,,,,
,,,,,Donkey Kong,3040,Purple,Palutena,Black,Incineroar,4389,6,Battlefield,Battlefield,Luigi's Mansion,,,,,,,,,
,,,,,Donkey Kong,3041,,Kirby,Leopard,Snake,4390,4,Battlefield,Battlefield,Hyrule Castle,,,,,,,,,
,,,,,Donkey Kong,3042,Saturn,Ness,Belch,Ness,4391,5,Battlefield,Omega,Mario Galaxy,,,,,,,,,
,,,,,Donkey Kong,3043,Blue,Piranha Plant,,Kirby,4392,5,Battlefield,Battlefield,Pirate Ship,,,,,,,,,
,,,,,Donkey Kong,3044,Lemmy,Bowser Jr.,,Meta Knight,4393,2,Battlefield,Omega,Final Destination,,,,,,,,,
,,,,,Donkey Kong,,,,,,4394,3,Battlefield,Battlefield,Rainbow Cruise,,,,,,,,,
,,,,,Donkey Kong,,,,,,4395,3,Battlefield,Battlefield,Yoshi's Story,,,,,,,,,
,,,,,Toon Link,3045,,Wolf,,Mr. Game & Watch,4396,4,Battlefield,Battlefield,New Pork City,,,,,,,,,
,,,,,Toon Link,3046,Woody,Mii Gunner,,Mii Brawler,4397,5,Battlefield,Battlefield,Dream Land GB,SM,,,,,,,,
,,,,,Toon Link,3047,Pink,Robin,Blue,Robin,4398,4,Battlefield,Battlefield,Great Plateau Tower,,,,,,,,,
,,,,,Toon Link,3048,Black Ribbon,Cloud,Black,Zero Suit Samus,4399,2,Battlefield,Battlefield,Tomodachi Life,0.25s,,,,,,,,
,,,,,Toon Link,3049,Blue,Ganondorf,,Jigglypuff,4400,2,Battlefield,Battlefield,Kongo Jungle 64,,,,,,,,,
,,,,,Toon Link,3050,Belch,Ness,Blue,Peach,4401,6,Battlefield,Battlefield,Yoshi's Island M,,,,,,,,,
,,,,,Diddy Kong,3051,Teal,Chrom,Blue,Shulk,4402,-2,Battlefield,Battlefield,Wrecking Crew,Good,,,,,,,,
,,,,,Diddy Kong,3052,White,Dark Pit,Green/Beige,Link,4403,4,Battlefield,Battlefield,Suzaku Castle,,,,,,,,,
,,,,,Diddy Kong,3053,Red,Daisy,,Falco,4404,2,Battlefield,Battlefield,Paper Mario,Good,,,,,,,,
,,,,,Diddy Kong,3054,Aqua,Mr. Game & Watch,White,Piranha Plant,4405,5,Battlefield,Battlefield,Paper Mario,,,,,,,,,
,,,,,Diddy Kong,3055,Blue,Ness,Belch,Ness,4406,4,Battlefield,Omega,Kongo Jungle M,,,,,,,,,
,,,,,Diddy Kong,3056,Gray,Toon Link,,Little Mac,4407,2,Battlefield,No Hazards,Venom,,,,,,,,,
,,,,,Diddy Kong,,,,,,4408,1,Battlefield,No Hazards,Yoshi's Island M,,,,,,,,,
,,,,,Diddy Kong,3057,Pink,Villager,Black,Dark Samus,4409,4 out of 4,Battlefield,Regular,Duck Hunt,3m2s,,,,,,,,
,,,,,Diddy Kong,3058,Yellow,Duck Hunt,Dark,Kirby,4410,6,Battlefield,Battlefield,Smashville,,,,,,,,,
,,,,,Diddy Kong,3059,Purple,King Dedede,,Lucas,4411,2,Battlefield,Omega,Venom,,,,,,,,,
,,,,,Diddy Kong,3060,Gold,Marth,Gold,Roy,4412,5,Battlefield,Omega,Princess Peach's Castle,,,,,,,,,
,,,,,Diddy Kong,3061,Orange,Falco,Navy,Inkling,4413,2,Battlefield,Omega,Kongo Jungle M,Chop,,,,,,,,
,,,,,Diddy Kong,3062,,King K. Rool,Blue,King Dedede,4414,1,Battlefield,Battlefield,Mario Bros.,,,,,,,,,
,,,,,Diddy Kong,,,,,,4415,3,Battlefield,Battlefield,Gerudo Valley,,,,,,,,,
,,,,,Dr. Mario,3063,Gold,King K. Rool,,Bowser,4416,5,Battlefield,Omega,Paper Mario,,,,,,,,,
,,,,,Dr. Mario,,,,,,4417,2,Battlefield,Battlefield,Port Town Aero Dive,,,,,,,,,
,,,,,Dr. Mario,,,,,,4418,2,Battlefield,Battlefield,Rainbow Cruise,,,,,,,,,
,,,,,Dr. Mario,3064,,Little Mac,Orange,King K. Rool,4419,2,Battlefield,Battlefield,Castle Siege,,,,,,,,,
,,,,,Dr. Mario,,,,,,4420,2,Battlefield,Battlefield,Princess Peach's Castle,,,,,,,,,
,,,,,Dr. Mario,3065,Cyan,King Dedede,Ab,Shulk,4421,3,Battlefield,Omega,Boxing Ring,,,,,,,,,
,,,,,Dr. Mario,3066,White,Zelda,Green,Mega Man,4422,3,Battlefield,Battlefield,Great Bay,,,,,,,,,
,,,,,Dr. Mario,,,,,,4423,4 out of 4,Battlefield,Omega,Suzaku Castle,,,,,,,,,
,,,,,Palutena,3067,,Richter,Black,Samus,4424,5,Battlefield,Battlefield,Gamer,,,,,,,,,
,,,,,Palutena,,,,,,4425,3,Battlefield,Battlefield,Balloon Fight,,,,,,,,,
,,,,,Palutena,3068,,Dr. Mario,Black/Red,Dark Pit,4426,4,Battlefield,Battlefield,Shadow Moses Island,4m3s,,,,,,,,
,,,,,Palutena,3069,White,Ganondorf,Pink,Captain Falcon,4427,2,Battlefield,Omega,Battlefield,,,,,,,,,
,,,,,Palutena,3070,Green,Little Mac,Olive,Snake,4428,5,Battlefield,Battlefield,Kalos Pokemon League,,,,,,,,,
,,,,,Wario,3071,,Ganondorf,Red,Bowser,4429,3,Battlefield,Battlefield,Palutena's Temple,,,,,,,,,
,,,,,Wario,,,,,,4430,6,Battlefield,Omega,Fourside,,,,,,,,,
,,,,,Wario,3072,,Ryu,Red,Mega Man,4431,5,Battlefield,Battlefield,Brinstar,3m3s,,,,,,,,
,,,,,Wario,3073,Gray,King K. Rool,,Ike,4432,5,Battlefield,Battlefield,Hyrule Castle,,,,,,,,,
,,,,,Wario,3074,White,Ganondorf,White,Ridley,4433,3,Battlefield,Battlefield,Moray Towers,,,,,,,,,
,,,,,Wario,3075,,Roy,,Marth,4434,4,Battlefield,Battlefield,Yoshi's Story,,,,,,,,,
,,,,,Wario,,,,,,4435,4,Battlefield,Battlefield,Golden Plains,,,,,,,,,
,,,,,Wario,,,,,,4436,4,Battlefield,Battlefield,Mute City,3m3s,,,,,,,,
2019-07-05,Lake Ogemaw,JP4,RCS,,Ganondorf,3076,Blue,Kirby,Black,Zero Suit Samus,4437,2 out of 4,Omega,Regular,New Donk City Hall,Stam,SM,SB,AT,PB,I,DD,,
,,,,,Ganondorf,3077,Black,Dr. Mario,Teal,Toon Link,4438,4,Omega,Omega,Mario Circuit B,,,,,,,,,
,,,,,Ganondorf,,,,,,4439,2,Omega,Omega,Delfino Plaza,,,,,,,,,
,,,,,Ganondorf,,,,,,4440,2 to 1 at time,Omega,Omega,Norfair,3m3s,SB,,,,,,,
,,,,,Ganondorf,3078,Black,Richter,Red,Captain Falcon,4441,2,Omega,Omega,Gerudo Valley,,,,,,,,,
,,,,,Ganondorf,,,,,,4442,6,Omega,Omega,Lylat Cruise,,,,,,,,,
,,,,,Ganondorf,,,,,,4443,5,Omega,Omega,Pokemon Stadium,,,,,,,,,
,,,,,Ganondorf,,,,,,4444,6,Omega,Omega,Duck Hunt,,,,,,,,,
,,,,,Ganondorf,3079,,Ganondorf,Gold,King K. Rool,4445,3,Omega,Omega,Find Mii,,,,,,,,,
,,,,,Ganondorf,3080,Aqua,Falco,,King K. Rool,4446,2,Omega,Battlefield,Flat Zone,,,,,,,,,
,,,,,Ganondorf,3081,,Lucas,White,Marth,4447,-3,Omega,Battlefield,Distant Planet,Good,,,,,,,,
,,,,,Ganondorf,,,,,,4448,1,Omega,Battlefield,Fourside,,,,,,,,,
,,,,,Ganondorf,,,,,,4449,-3,Omega,Omega,Moray Towers,,,,,,,,,
,,,,,Ganondorf,,,,,,4450,-2,Omega,Battlefield,Gerudo Valley,,,,,,,,,
,,,,,Peach,3082,Orange,Kirby,Purple,Yoshi,4451,1,Omega,Omega,Pac-Land,Good,,,,,,,,
,,,,,Peach,3083,Black,Samus,Roy,Bowser Jr.,4452,4,Omega,Omega,Mushroom Kingdom,,,,,,,,,
,,,,,Peach,,,,,,4453,4,Omega,Omega,Distant Planet,,,,,,,,,
,,,,,Peach,3084,Purple,Samus,Purple,Ken,4454,-2,Omega,Battlefield,Onett,,,,,,,,,
,,,,,Peach,3085,White,Zelda,Green,Pokemon Trainer,4455,-2,Omega,Omega,Green Greens,,,,,,,,,
2019-07-06,Lake Ogemaw,JP4,PM,,,3086,Blue,Ike,,Mii Brawler,4456,-2,Omega,Omega,Wii Fit Studio,,,,,,,,,
,,,,,,3087,White,Ridley,White,King K. Rool,4457,-4,Omega,Omega,Lylat Cruise,,,,,,,,,
,,,,,,3088,White,Ness,Red,Meta Knight,4458,5,Omega,Omega,Rainbow Cruise,,,,,,,,,
,,,,,,3089,Red,Joker,Black Glasses,Joker,4459,-3,Omega,Battlefield,Pilotwings,,,,,,,,,
,,,,,,3090,Red,Kirby,Aqua,Inkling,4460,-3,Omega,Omega,Umbra Clock Tower,,,,,,,,,
,,JP4,RCS,,Cloud,3091,,Diddy Kong,,Greninja,4461,2,Omega,Regular,Green Greens,Stam,SM,SB,AT,PB,I,,,
,,,,,Cloud,3092,Red,Young Link,Yellow F,Wii Fit Trainer,4462,2,Omega,Battlefield,Town and City,,,,,,,,,
,,,,,Pokemon Trainer,3093,,Mario,Plum,Ganondorf,4463,2,Omega,Omega,Coliseum,,,,,,,,,
,,,,,Pokemon Trainer,,,,,,4464,-1,Omega,Omega,Paper Mario,,,,,,,,,
,,,,,Pokemon Trainer,,,,,,4465,3,Omega,Omega,Jungle Japes,,,,,,,,,
2019-07-11,Livonia,JP4,RCS,,Mii Swordfighter,3094,Yellow,Ness,Blue/Orange,Lucas,4466,-2,Omega,Omega,Palutena's Temple,,,,,,,,,
,,,,,Mii Swordfighter,,,,,,4467,-5,Omega,Omega,Super Mario Maker,,,,,,,,,
,,,,,Mii Swordfighter,,,,,,4468,-3,Omega,Omega,Boxing Ring,,,,,,,,,
,,,,,Mii Swordfighter,3095,Pink,Corrin,,Dark Pit,4469,4,Omega,Omega,Spear Pillar,,,,,,,,,
,,,,,Mii Swordfighter,3096,Blue,Mewtwo,Yellow,Mewtwo,4470,2,Omega,Omega,Dream Land GB,,,,,,,,,
,,,,,Mii Swordfighter,3097,Black,Cloud,Red,Daisy,4471,+3 to -3,Omega,Omega,Gerudo Valley,Time,,,,,,,,
,,,,,Mii Swordfighter,3098,Blue,Mewtwo,Gray,Incineroar,4472,-1,Omega,Omega,Hyrule Castle,,,,,,,,,
,,,,,Mii Swordfighter,3099,Blue,Bayonetta,,R.O.B.,4473,3,Omega,Omega,Green Hill Zone,,,,,,,,,
,,,,,Mii Swordfighter,3100,,Pokemon Trainer,Red,Link,4474,5,Omega,Omega,Spear Pillar,,,,,,,,,
,,,,,Mii Swordfighter,3101,Blue,Ike,Teal,Chrom,4475,3,Omega,Omega,Jungle Japes,,,,,,,,,
,,,,,Mii Swordfighter,,,,,,4476,3,Omega,Omega,Flat Zone,,,,,,,,,
,,,,,Snake,3102,White,Ganondorf,,Ganondorf,4477,2,Omega,Omega,Jungle Japes,,,,,,,,,
,,,,,Snake,3103,Orange,Kirby,White,Robin,4478,2 out of 4,Omega,Battlefield,Umbra Clock Tower,Chop,,,,,,,,
,,,,,Snake,3104,Plum,Ganondorf,Aqua,Roy,4479,-2,Omega,Omega,Palutena's Temple,,,,,,,,,
,,,,,Snake,,,,,,4480,-1,Omega,Omega,Peach's Castle,,,,,,,,,
,,,,,Snake,,,,,,4481,2,Omega,Omega,Spear Pillar,,,,,,,,,
,,,,,Snake,3105,Pink,King Dedede,Gray,King K. Rool,4482,2,Omega,Omega,Skyloft,,,,,,,,,
,,,,,Snake,,,,,,4483,2,Omega,Omega,Kongo Jungle M,,,,,,,,,
,,,,,Wario,3106,Red,Ridley,Capt Body,Mii Brawler,4484,2,Omega,Omega,Green Hill Zone,,,,,,,,,
,,,,,Wario,3107,Yiga/Fighter,Mii Brawler,,Chrom,4485,2,Omega,No Hazards,Gerudo Valley,,,,,,,,,
,,,,,Wario,3108,Brown,King K. Rool,Blue,Wolf,4486,-3,Omega,Omega,Mushroomy Kingdom,,,,,,,,,
2019-07-16,Ann Arbor,OT,RCS,,King Dedede,3109,Purple,Ganondorf,,Mr. Game & Watch,4487,5,Battlefield,Battlefield,Arena Ferox,,,,,,,,,
,,,,,King Dedede,3110,Gray,Bowser,Blue,Captain Falcon,4488,4,Battlefield,Battlefield,Garden of Hope,Good,,,,,,,,
,,,,,King Dedede,,,,,,4489,5,Battlefield,Battlefield,The Great Cave Offensive,,,,,,,,,
,,,,,King Dedede,3111,White,Dark Pit,Wire,Little Mac,4490,5,Battlefield,Battlefield,Unova Pokemon League,,,,,,,,,
,,,,,King Dedede,,,,,,4491,3,Battlefield,Battlefield,Wuhu Island,,,,,,,,,
,,,,,King Dedede,3112,Radiant Dawn,Ike,,Ike,4492,5,Battlefield,Omega,Town and City,,,,,,,,,
,,,,,King Dedede,,,,,,4493,2,Battlefield,Battlefield,Tomodachi Life,,,,,,,,,
,,,,,King Dedede,3113,Yellow,Wario,Pink,Little Mac,4494,3,Battlefield,Battlefield,Wily Castle,,,,,,,,,
,,,,,King Dedede,3114,Blue,Ness,Black,Ike,4495,4,Battlefield,Omega,Palutena's Temple,,,,,,,,,
,,,,,King Dedede,,,,,,4496,4,Battlefield,Battlefield,Port Town Aero Dive,,,,,,,,,
,,,,,King Dedede,3115,,Link,,Ness,4497,2,Battlefield,Battlefield,Arena Ferox,,,,,,,,,
,,,,,King Dedede,,,,,,4498,5,Battlefield,Battlefield,Mario Circuit U,,,,,,,,,
,,,,,Wario,3116,Purple,Ganondorf,Aqua,Roy,4499,3,Battlefield,Battlefield,Green Greens,,,,,,,,,
,,,,,Wario,3117,Party,Pikachu,Black,Samus,4500,3,Battlefield,Battlefield,Castle Siege,,,,,,,,,
,,,,,Wario,3118,Purple,King Dedede,Purple,Ganondorf,4501,2,Battlefield,Battlefield,Mementos,Good,,,,,,,,
,,,,,Wario,3119,,Pokemon Trainer,Green,Little Mac,4502,5,Battlefield,Battlefield,3D Land,,,,,,,,,
,,,,,Wario,3120,Green,Bowser,,King Dedede,4503,1,Battlefield,Battlefield,Umbra Clock Tower,Good,,,,,,,,
,,,,,Wario,,,,,,4504,2,Battlefield,Battlefield,Kalos Pokemon League,,,,,,,,,
,,,,,Wario,,,,,,4505,-2,Battlefield,Battlefield,Hanenbow,,,,,,,,,
,,,,,Wario,3121,White,Ganondorf,Saturn,Ness,4506,3,Battlefield,Battlefield,Mario Circuit B,,,,,,,,,
,,,,,Diddy Kong,3122,White,Ridley,Purple,Samus,4507,3,Battlefield,Battlefield,Hanenbow,,,,,,,,,
,,,,,Diddy Kong,,,,,,4508,3 out of 4,Battlefield,Omega,Wuhu Island,,,,,,,,,
,,,,,Diddy Kong,3123,Orange,Bowser,Green,Dark Samus,4509,4,Battlefield,Battlefield,Battlefield,,,,,,,,,
,,,,,Diddy Kong,3124,Gold,Captain Falcon,Pink,Captain Falcon,4510,-1,Battlefield,Battlefield,Wario Ware Inc.,Good,,,,,,,,
,,,,,Diddy Kong,,,,,,4511,3,Battlefield,Omega,Shadow Moses Island,,,,,,,,,
,,,,,Diddy Kong,,,,,,4512,3,Battlefield,Battlefield,Mushroom Kingdom,,,,,,,,,
,,,,,Diddy Kong,,,,,,4513,4,Battlefield,Battlefield,Midgar,,,,,,,,,
,,,,,Diddy Kong,3125,USA,Mario,Party,Pikachu,4514,-1,Battlefield,Regular,Magicant,,,,,,,,,
,,,,,Diddy Kong,,,,,,4515,4,Battlefield,Regular,Mario Bros.,,,,,,,,,
,,,,,Diddy Kong,,,,,,4516,2,Battlefield,Regular,Unova Pokemon League,,,,,,,,,
,,,,,Incineroar,3126,Blue,Samus,Black,Cloud,4517,3,Battlefield,Omega,Tortimer Island,,,,,,,,,
,,,,,Incineroar,,,,,,4518,1,Battlefield,Battlefield,Mementos,,,,,,,,,
2019-07-17,Ann Arbor,OT,RCS,,Snake,3127,Yellow,Inkling,Flower,Jigglypuff,4519,3,Battlefield,Battlefield,Shadow Moses Island,Chop,,,,,,,,
,,,,,Snake,3128,Teal,King K. Rool,,Peach,4520,4,Battlefield,Battlefield,Balloon Fight,,,,,,,,,
,,,,,Snake,,,,,,4521,3,Battlefield,Omega,Yoshi's Island B,,,,,,,,,
,,,,,Snake,3129,,Mr. Game & Watch,,Pac-Man,4522,-3,Battlefield,Omega,Battlefield,Good,,,,,,,,
,,,,,Snake,,,,,,4523,4,Battlefield,Omega,Wrecking Crew,,,,,,,,,
,,,,,Snake,,,,,,4524,3,Battlefield,Omega,Mario Galaxy,,,,,,,,,
,,,,,Snake,3130,,Shulk,,Robin,4525,5,Battlefield,Battlefield,Skyloft,,,,,,,,,
,,,,,Snake,3131,Blue,Ike,Blue,Ganondorf,4526,3,Battlefield,Battlefield,Kalos Pokemon League,,,,,,,,,
,,,,,Snake,3132,Party,Pikachu,Black,Samus,4527,4,Battlefield,Battlefield,Shadow Moses Island,,,,,,,,,
,,,,,Snake,3133,,Captain Falcon,White,Zero Suit Samus,4528,3,Battlefield,Battlefield,Yoshi's Story,,,,,,,,,
,,,,,Greninja,3134,Saturn,Ness,Gray,Captain Falcon,4529,4,Battlefield,Battlefield,Wario Ware Inc.,,,,,,,,,
,,,,,Greninja,,,,,,4530,2,Battlefield,Omega,Yoshi's Island 64,,,,,,,,,
,,,,,Greninja,3135,Pink,Palutena,Pink,Robin,4531,1,Battlefield,Battlefield,Brinstar Depths,Good,,,,,,,,
,,,,,Greninja,,,,,,4532,5,Battlefield,Battlefield,Moray Towers,,,,,,,,,
,,,,,Greninja,3136,,Joker,,Ganondorf,4533,4,Battlefield,Battlefield,The Great Cave Offensive,,,,,,,,,
,,,,,Greninja,,,,,,4534,1,Battlefield,Battlefield,New Donk City Hall,,,,,,,,,
,,,,,Greninja,3137,Black Glasses,Joker,Black,Piranha Plant,4535,3,Battlefield,Omega,Kongo Jungle M,,,,,,,,,
,,,,,Greninja,3138,Red,Roy,Teal,Chrom,4536,6,Battlefield,Battlefield,Yoshi's Island B,CPU,Chop,,,,,,,
,,,,,Luigi,3139,Purple,Yoshi,Blue,Palutena,4537,3,Battlefield,Battlefield,Dream Land 64,,,,,,,,,
,,,,,Luigi,,,,,,4538,3,Battlefield,Battlefield,Peach's Castle,,,,,,,,,
,,,,,Luigi,3140,Brown,Samus,Black,Donkey Kong,4539,4,Battlefield,No Hazards,Mario Circuit B,,,,,,,,,
,,,,,Luigi,,,,,,4540,3,Battlefield,Battlefield,Pac-Land,,,,,,,,,
,,,,,Luigi,3141,Black,Falco,,King Dedede,4541,5,Battlefield,Omega,Big Blue,0.5s,,,,,,,,
,,,,,Luigi,3142,Black,Samus,White,Ness,4542,3,Battlefield,Battlefield,Skyloft,,,,,,,,,
,,,,,Luigi,3143,White,Pokemon Trainer,Red M,Wii Fit Trainer,4543,4,Battlefield,Battlefield,Spirit Train,Good,,,,,,,,
,,,,,Luigi,,,,,,4544,5,Battlefield,Battlefield,Find Mii,,,,,,,,,
,,,,,Luigi,3144,,King Dedede,Brown,Ice Climbers,4545,-1,Battlefield,Omega,Moray Towers,Good,,,,,,,,
,,,,,Luigi,,,,,,4546,2,Battlefield,Battlefield,Prism Tower,,,,,,,,,
,,,,,Luigi,3145,Pink,Donkey Kong,Saturn,Ness,4547,2,Battlefield,Battlefield,Frigate Orpheon,,,,,,,,,
,,,,,Luigi,,,,,,4548,3,Battlefield,Battlefield,Mario Circuit U,,,,,,,,,
,,,,,Mii Gunner,3146,Gold,Captain Falcon,Green,Captain Falcon,4549,3,Battlefield,Battlefield,Balloon Fight,Good,,,,,,,,
,,,,,Mii Gunner,,,,,,4550,2,Battlefield,Battlefield,Kalos Pokemon League,,,,,,,,,
,,,,,Mii Gunner,3147,Brown,King K. Rool,Red F,Wii Fit Trainer,4551,2,Battlefield,Battlefield,Hyrule Castle,,,,,,,,,
,,,,,Mii Gunner,3148,Leaf,Jigglypuff,Purple,Cloud,4552,4,Battlefield,Omega,Halberd,,,,,,,,,
,,,,,Mii Gunner,3149,Green,King Dedede,,Joker,4553,-3,Battlefield,Battlefield,Garden of Hope,Good,,,,,,,,
,,,,,Mii Gunner,3150,,Ryu,,Shulk,4554,5,Battlefield,Battlefield,New Pork City,,,,,,,,,
,,,,,Mii Gunner,3151,,Incineroar,Yellow,Pac-Man,4555,4,Battlefield,Omega,Moray Towers,,,,,,,,,
,,,,,Mii Gunner,3152,Bow,Jigglypuff,Nia,Mii Brawler,4556,2,Battlefield,Battlefield,Fourside,Good,,,,,,,,
,,,,,Mii Gunner,,,,,,4557,3,Battlefield,Battlefield,Super Mario Maker,,,,,,,,,
,,,,,Pichu,3153,Meta,Ridley,Purple,Ganondorf,4558,5,Battlefield,Battlefield,Yoshi's Island B,,,,,,,,,
,,,,,Pichu,,,,,,4559,3,Battlefield,Omega,Shadow Moses Island,,,,,,,,,
,,,,,Pichu,3154,Gray,Incineroar,Dark,Link,4560,2,Battlefield,Omega,Brinstar Depths,,,,,,,,,
,,,,,Pichu,3155,White,Mr. Game & Watch,Craft,Yoshi,4561,3,Battlefield,Battlefield,Spirit Train,,,,,,,,,
,,,,,Pichu,3156,White,Donkey Kong,Green/Brown,Link,4562,4,Battlefield,Battlefield,Mario Circuit U,,,,,,,,,
,,,,,Pichu,3157,Black,Zero Suit Samus,Gray,King K. Rool,4563,4,Battlefield,Battlefield,Battlefield,CPU,Chop,,,,,,,
,,,,,Donkey Kong,3158,Builder,Mario,,Wolf,4564,4,Battlefield,Battlefield,Gamer,,,,,,,,,
,,,,,Donkey Kong,3159,Red,Zelda,Belch,Ness,4565,5,Battlefield,Battlefield,Saffron City,,,,,,,,,
,,,,,Donkey Kong,,,,,,4566,5,Battlefield,Battlefield,The Great Cave Offensive,,,,,,,,,
,,,,,Donkey Kong,3160,Blue,Little Mac,Green/Blue,Fox,4567,6,Battlefield,Battlefield,Spirit Train,,,,,,,,,
,,,,,Donkey Kong,,,,,,4568,4,Battlefield,Battlefield,Brinstar,,,,,,,,,
,,,,,Donkey Kong,,,,,,4569,6,Battlefield,Battlefield,Wrecking Crew,,,,,,,,,
,,,,,Donkey Kong,,,,,,4570,5,Battlefield,Battlefield,Fourside,,,,,,,,,
,,,,,Donkey Kong,,,,,,4571,3,Battlefield,Battlefield,Great Plateau Tower,,,,,,,,,
,,,,,Donkey Kong,3161,,King Dedede,,Donkey Kong,4572,3,Battlefield,No Hazards,Brinstar,SM,,,,,,,,
,,,,,Donkey Kong,3162,,Chrom,Teal,Captain Falcon,4573,5,Battlefield,Battlefield,Green Hill Zone,,,,,,,,,
,,,,,Donkey Kong,,,,,,4574,5,Battlefield,Battlefield,Mario Circuit U,,,,,,,,,
2019-07-19,Ann Arbor,OT,RCS,,Meta Knight,3163,Blue,Captain Falcon,Blue,Ganondorf,4575,3,Battlefield,Battlefield,Super Mario Maker,Good,,,,,,,,
,,,,,Meta Knight,,,,,,4576,3,Battlefield,Battlefield,Halberd,,,,,,,,,
,,,,,Meta Knight,3164,Navy,Link,Black/Red,Dark Pit,4577,4,Battlefield,Battlefield,Gaur Plain,,,,,,,,,
,,,,,Meta Knight,3165,Blue,Luigi,Black,Falco,4578,3,Battlefield,Battlefield,Halberd,Good,,,,,,,,
,,,,,Meta Knight,,,,,,4579,4,Battlefield,Omega,Yoshi's Island B,,,,,,,,,
,,,,,Meta Knight,3166,Cyan,King Dedede,,Luigi,4580,4,Battlefield,Omega,Green Greens,,,,,,,,,
,,,,,Meta Knight,3167,Yellow,Yoshi,Green/Brown,Link,4581,-1 out of 4,Battlefield,No Hazards,Dream Land 64,,,,,,,,,
,,,,,Meta Knight,3168,White,Donkey Kong,Orange,Shulk,4582,1,Battlefield,Omega,Dracula's Castle,Good,,,,,,,,
,,,,,Meta Knight,3169,Red,Simon,Blue/Gray,Richter,4583,6,Battlefield,Battlefield,Shadow Moses Island,,,,,,,,,
,,,,,Meta Knight,3170,Builder,Mario,Brown,Cloud,4584,6,Battlefield,Battlefield,Yoshi's Story,,,,,,,,,
,,,,,Meta Knight,3171,Pink,Donkey Kong,White,Little Mac,4585,4,Battlefield,Omega,Coliseum,,,,,,,,,
,,,,,Meta Knight,3172,Selene,Pikachu,Blue,Pokemon Trainer,4586,3 out of 4,Battlefield,Battlefield,Living Room,,,,,,,,,
,,,,,Meta Knight,3173,Gray,Captain Falcon,Plum,Ganondorf,4587,3,Battlefield,Battlefield,The Great Cave Offensive,,,,,,,,,
,,,,,Meta Knight,,,,,,4588,4,Battlefield,Battlefield,Palutena's Temple,,,,,,,,,
,,,,,Ness,3174,,Joker,,Little Mac,4589,6,Battlefield,Battlefield,Kongo Jungle 64,,,,,,,,,
,,,,,Ness,3175,Blue,Incineroar,Pink,Donkey Kong,4590,5,Battlefield,Battlefield,Pokemon Stadium 2,,,,,,,,,
,,,,,Ness,3176,White,Joker,White,King K. Rool,4591,4,Battlefield,No Hazards,Super Mario Maker,,,,,,,,,
,,,,,Ness,,,,,,4592,4,Battlefield,No Hazards,Windy Hill Zone,,,,,,,,,
,,,,,Ness,3177,Purple,Luigi,Black,Zelda,4593,2,Battlefield,No Hazards,Fountain of Dreams,,,,,,,,,
,,,,,Ness,3178,Brown,Wolf,Red,Ridley,4594,-2,Battlefield,Battlefield,Suzaku Castle,Good,,,,,,,,
,,,,,Ness,3179,,Sheik,Green,Piranha Plant,4595,4,Battlefield,Battlefield,Prism Tower,,,,,,,,,
,,,,,R.O.B.,3180,Red,Roy,,Dark Samus,4596,2,Battlefield,Battlefield,Battlefield,,,,,,,,,
,,,,,R.O.B.,,,,,,4597,2,Battlefield,Battlefield,Fourside,,,,,,,,,
,,,,,R.O.B.,,,,,,4598,4,Battlefield,Regular,Mario Circuit U,,,,,,,,,
,,,,,R.O.B.,3181,Green,Snake,Black,Donkey Kong,4599,4,Battlefield,Battlefield,Jungle Japes,Chop,,,,,,,,
,,,,,R.O.B.,3182,Gray,Bowser,,Bowser Jr.,4600,6,Battlefield,Battlefield,Garden of Hope,,,,,,,,,
,,,,,R.O.B.,3183,White,Ganondorf,,Little Mac,4601,5,Battlefield,Battlefield,Great Bay,,,,,,,,,
,,,,,R.O.B.,3184,Blue,Young Link,White F,Corrin,4602,5,Battlefield,Battlefield,Windy Hill Zone,,,,,,,,,
,,,,,Peach,3185,Gray,King K. Rool,Dark,Link,4603,4,Battlefield,Omega,Fourside,Good,,,,,,,,
,,,,,Peach,,,,,,4604,1,Battlefield,Battlefield,Frigate Orpheon,,,,,,,,,
,,,,,Peach,,,,,,4605,-2,Battlefield,Omega,Paper Mario,,,,,,,,,
,,,,,Peach,,,,,,4606,3,Battlefield,Omega,Mario Circuit B,,,,,,,,,
,,,,,Peach,,,,,,4607,3,Battlefield,Battlefield,Prism Tower,,,,,,,,,
,,,,,Peach,3186,Green,Lucas,,Robin,4608,4,Battlefield,Omega,Palutena's Temple,,,,,,,,,
,,,,,Peach,3187,White,Little Mac,Dark,Kirby,4609,5,Battlefield,Battlefield,Battlefield,,,,,,,,,
,,,,,Peach,,,,,,4610,4,Battlefield,Battlefield,Find Mii,,,,,,,,,
,,,,,Peach,3188,Beagle,Duck Hunt,Purple,Ganondorf,4611,4,Battlefield,Battlefield,Garden of Hope,,,,,,,,,
